Country,Code,Fruit,Bananas,Dates,Citrus,Oranges,Apples,Lemons,Grapes,Grapefruit,Pineapples,Plantains,Other
Afghanistan,AFG,34.05,2.7,0.02,1.29,4.75,2.22,NA,15.8,NA,0,NA,7.29
Africa,,66.18,14.31,2.69,4.18,6.66,2.83,0.86,2.39,0.53,3.67,14.13,13.93
Albania,ALB,142,6.24,3.8,0.24,12.59,24.6,1.55,48.16,0.12,0.05,0.17,44.48
Algeria,DZA,114.19,6.3,20.93,0.23,28.47,13.86,1.91,13.06,0.07,0.26,0,29.1
Americas,,102.99,15.92,0.06,0.89,21.6,10.84,6.54,5.04,1.45,7.5,7.19,25.98
Angola,AGO,90.34,53.76,0,12.76,0.28,1,NA,0.11,NA,20.09,NA,2.33
Antigua and Barbuda,ATG,157.78,11.42,0.09,1.31,17.52,2.07,4.53,4.22,2.79,7.79,2.48,103.56
Argentina,ARG,76.42,12.84,0,NA,21.43,19.72,4.25,1.05,3.81,0.97,0.09,12.25
Armenia,ARM,110.87,0.77,0.15,0.46,4.78,24.79,0.31,13.54,0.52,0.16,2.55,62.84
Asia,,71.86,11.63,0.85,1.39,9.5,9.97,1.24,4.36,1.16,1.88,0.37,29.51
"Asia, Central",,75.45,0.79,0.15,0.06,2.36,23.48,0.14,20.8,0.12,0.15,0.1,27.3
Australia,AUS,88.16,14.85,0.22,0.1,15.61,22.88,1.66,6.59,0.45,5.22,0,20.57
Australia & New Zealand,,89.92,14.47,0.23,0.51,15.07,21.84,1.58,7.01,0.46,4.91,0.64,23.19
Austria,AUT,154.11,10.92,0.17,0.81,25.82,48.34,3.64,8.68,0.85,2.58,0.1,52.19
Azerbaijan,AZE,74.93,0.95,0.06,0.37,3.86,14.06,0.54,14.31,0.09,0.15,0,40.54
Bahamas,BHS,278.89,27.71,0.05,0.02,60.95,39.9,33.84,6.61,53.72,3.86,1.61,50.63
Bangladesh,BGD,23.33,4.45,0,0.05,0.78,0.95,0.36,0.26,0.37,1.07,NA,15.05
Barbados,BRB,96.22,10.34,0.05,0.14,28.08,14.72,2.8,7.81,1.85,3.06,3.64,23.74
Belarus,BLR,71.8,7.78,0.07,0.06,10.45,26.51,0.82,1.49,1.63,1.18,0,21.81
Belgium,BEL,71.37,4.26,0.22,0.03,7.27,24.03,1.96,7.09,1.39,2.68,1.46,20.98
Belize,BLZ,170.32,6.56,0.01,0,88.84,0.85,NA,0.69,56.49,2.1,5.87,8.91
Benin,BEN,49.62,1.75,0.12,0,1.4,1.65,0,0.1,0,31.28,NA,13.33
Bermuda,BMU,215.2,14.77,NA,4.37,45.85,28.18,3.48,9.2,4.91,13.3,0.25,90.9
Bolivia,BOL,69.41,2.55,0,0,23.85,2.92,2.06,1.85,0.77,3.91,24.06,7.44
Bosnia and Herzegovina,BIH,106.76,5.83,0.11,0,9.57,22.87,1.98,8.25,0.41,0.37,2.81,54.55
Botswana,BWA,66.11,0.74,0.02,0.06,12.25,5.24,2.84,0.87,0.17,0.22,3.09,40.61
Brazil,BRA,93.19,28.99,0,0,16.59,4.95,4.5,4.75,0.35,9.77,NA,23.3
Brunei,BRN,76.51,2.14,0.66,3.09,16.48,6.5,1.36,1.86,1.15,5.57,4.08,33.63
Bulgaria,BGR,70.43,4,0.13,0.72,7.28,6.45,1.7,10.95,1.24,0.31,0.33,37.32
Burkina Faso,BFA,6.4,0.3,0.02,0.14,0.25,0.11,0.02,0.02,0.02,0.24,0,5.29
Cambodia,KHM,26.25,10.48,0.01,0.03,4.24,0.33,0.15,0.13,0.22,1.55,NA,9.12
Cameroon,CMR,112.25,48.96,0.03,0,0.08,0.34,0,0.09,0.01,6.72,46.88,9.13
Canada,CAN,135.65,15.11,0.27,1.28,43.44,21.33,5.11,8.84,2.03,4.94,0.43,32.87
Cape Verde,CPV,80.18,18.1,0.03,0.4,13.14,10.08,0.68,1.7,0.1,2.04,NA,33.9
Caribbean,,150.53,28.51,0,0.4,11.27,1.68,2.3,0.78,3.44,14.59,32.37,55.19
Central African Republic,CAF,46.43,25.18,0,NA,5.48,0,0.51,0,0.99,3.1,7.43,3.75
Central America,,97.98,11.27,0.03,0.19,29.08,7.79,8.76,2.25,2.28,6.12,2.46,27.75
Chad,TCD,8.51,0,1.41,NA,0,0,0,0,0,NA,NA,7.1
Chile,CHL,63.92,9.43,0,0.09,5.74,11.13,6.33,5.14,0.04,2.92,0.67,22.43
China,CHN,93.92,7.33,0.11,3.21,15.32,20.9,1.24,6.44,2.34,1.22,0,36.08
Colombia,COL,145.53,10.56,0,13.51,7.57,2.25,2.44,1.35,0.01,9.93,53.11,44.79
Congo,COG,65.21,21.02,0,0.21,2.96,0.78,1.27,0.45,1.02,1.11,17.42,18.96
Costa Rica,CRI,133.39,0.46,0,0.06,29.43,8.31,6.55,2.61,4.17,29.17,15.98,36.64
Cote d'Ivoire,CIV,77,1.55,0.04,0.65,1.62,0.4,0.01,0.06,1.21,0.85,63.96,6.65
Croatia,HRV,108.2,11.87,0.03,0.32,16.65,26.15,2.68,28.29,0.67,0.96,0,20.58
Cuba,CUB,138.56,11.87,0,0.22,6.97,0.34,0.43,0.2,2.97,6.63,44.65,64.28
Cyprus,CYP,64.83,7.51,0.53,0.2,18.16,8.45,5.31,2.87,2.91,0.93,0.02,17.93
Czechia,CZE,65.64,7.71,0.05,0.29,15.79,12.58,2.67,5.84,1.28,1.42,0.7,17.32
Denmark,DNK,121.58,14.19,0.46,0.36,43.89,24.37,1.9,8.52,1.25,3.91,0.14,22.59
Djibouti,DJI,44.61,5.04,0.83,0.52,3.49,0.08,2.95,2.73,0,0.17,NA,28.78
Dominica,DMA,354.78,41.67,NA,NA,83.14,3.98,15.36,1.55,152.71,0.79,19.44,36.14
Dominican Republic,DOM,261.09,63.73,0,NA,13.33,1.3,1.65,0.88,0.93,41.62,49.47,88.18
Eastern Africa,,54.8,24.88,0.03,0.55,2.32,0.31,0.21,0.07,0.11,1.86,14.12,10.33
Eastern Asia,,89.44,7.1,0.1,2.94,14.97,20.08,1.13,5.99,2.22,1.26,0,33.65
Eastern Europe,,67.79,6.57,0.11,0.28,10.48,18.97,1.59,4.34,1.28,0.97,0.28,22.91
Ecuador,ECU,102.49,35.49,0,1.46,5.05,4.31,0.32,1.99,0.25,3.99,23.97,25.64
Egypt,EGY,102.6,12.9,14.33,0.06,27.78,8.76,3.15,14.93,0.01,0.08,0.04,20.56
El Salvador,SLV,53.72,6.57,0.01,0.07,15.81,0.95,0.94,0.91,0.04,0.48,12.92,15
Estonia,EST,81.06,7.76,0.07,0.45,19.89,13.82,1.34,5.92,1.74,2.65,0,27.41
Eswatini,SWZ,88.22,4.95,0.27,0.79,22.68,4.74,1.13,0.75,22.55,18.39,NA,11.97
Ethiopia,ETH,7.13,2.82,0.02,0.27,0.51,0.07,0.04,0.04,0.04,0.08,NA,3.25
Europe,,94.93,8.49,0.16,0.54,24.6,19.19,2.29,8.2,1.86,2.31,0.36,26.93
